Lat,Lng,Year,Month,Severity
-21.22,55.22,2008,4,0
-21.05,55.23,2008,7,0
-21.16,55.28,2008,2,0
43.00,5.00,1999,8,-1
10.12,99.81,2009,7,0
-16.63,59.63,2010,4,-1
16.00,-95.00,1998,5,3
9.27,-82.01,2002,6,2
17.79,-64.63,1998,,2
17.68,-64.74,1987,9,1
17.70,-64.90,2001,7,1
-10.27,166.28,2011,8,0
18.35,-65.00,1998,,2
18.30,-64.70,1998,,2
18.31,-64.77,1998,,2
18.35,-65.00,1998,,2
-5.25,72.47,1998,,3
-6.10,71.73,1998,4,3
-6.66,71.35,1998,,3
-6.23,72.00,1998,,3
-5.35,71.75,1998,,3
-5.35,72.24,1998,,3
13.87,-61.08,1998,,3
-6.25,39.17,2003,4,1
-6.43,39.35,2003,4,1
-6.27,39.18,2003,4,1
-6.27,39.28,2003,4,1
-4.25,39.62,1998,,-1
-3.37,40.48,1987,,-1
-3.37,40.48,1998,3,3
-4.07,39.69,2005,3,1
-4.72,39.37,2010,4,3
-1.99,41.38,2003,4,1
-1.75,41.48,2001,4,3
-2.25,41.06,1998,3,1
-2.28,40.90,1998,,2
-1.72,41.52,1998,4,2
-3.22,40.14,1998,12,3
-3.23,40.67,1998,,1
-3.22,40.13,2003,4,1
1.96,41.30,2010,4,3
-4.00,39.75,1998,3,3
-3.99,39.76,2003,4,1
-4.00,39.75,2001,5,1
-4.69,39.41,2010,4,3
2.04,41.25,2010,4,3
-4.67,39.28,2010,4,3
-3.67,39.88,1998,,-1
-3.32,40.12,1998,,1
-16.02,40.13,1999,3,1
-16.20,40.14,1998,,3
-26.10,32.88,1998,,3
-21.67,35.50,1998,,2
-23.78,35.51,1998,,0
-21.90,35.52,1998,,0
-23.78,35.49,1998,,2
-23.78,35.52,1999,3,1
-12.96,40.58,1998,,3
-26.00,32.92,1999,,1
-26.05,32.95,1998,,2
-21.49,35.51,1998,,2
-21.52,35.48,1999,3,1
-16.44,39.96,1998,,3
-16.33,40.00,1998,,1
-16.03,40.05,1999,3,1
-12.15,40.57,2010,6,-1
-23.78,35.53,1998,,0
-12.28,40.60,1998,,3
-26.04,33.01,1998,,3
-25.96,33.01,1998,,0
-11.04,40.70,1998,,3
-11.21,40.67,1998,,3
-11.53,40.63,1998,,3
10.79,45.98,1998,,3
10.56,45.22,1998,,2
10.43,44.97,1998,,1
-27.53,32.69,2000,12,1
-27.53,32.69,2001,9,1
-27.53,32.69,2001,3,1
-27.48,32.70,2000,12,1
-27.48,32.70,2001,3,1
-27.48,32.70,2001,9,1
-27.48,32.70,2000,12,1
-27.48,32.70,2001,3,1
-27.48,32.70,2001,9,1
-27.51,32.69,2000,3,0
-27.42,32.73,2000,3,-1
-27.42,32.74,2000,3,0
-27.53,32.68,1998,,1
-33.60,26.90,1998,,1
-27.53,32.69,2000,3,1
-6.19,39.13,1998,3,2
-6.13,39.17,1998,3,3
-7.98,39.78,1998,5,3
-10.30,40.36,1998,,2
-6.30,39.20,1998,3,2
-6.35,39.23,1994,,-1
-6.35,39.23,1998,5,3
-6.35,39.23,1993,9,-1
-6.80,39.28,1998,,2
-7.97,39.78,1998,5,3
-6.67,39.22,1998,,2
-7.83,39.83,1998,5,3
-7.95,39.81,2001,,1
-7.95,39.81,1998,10,3
-5.28,39.63,1998,,3
-5.23,39.60,1998,,3
-5.78,38.85,2003,4,-1
-10.35,40.34,1998,5,2
-5.50,39.07,2008,11,0
-5.54,39.04,2008,11,0
-5.17,39.80,1998,,3
-10.30,40.39,1998,,2
-6.12,39.17,2010,5,2
-6.15,39.13,2010,5,2
-6.15,39.13,2010,5,2
-6.15,39.13,2010,5,2
-6.28,39.18,2010,5,1
-6.15,39.13,2010,5,2
-5.12,39.22,1998,5,2
-5.19,39.10,2003,4,1
-5.03,39.24,1998,5,2
-8.72,39.52,1998,12,3
-8.12,39.70,1998,4,3
-8.12,39.70,1998,3,3
-7.67,40.67,1998,,3
-6.32,39.37,1998,,2
-6.17,39.33,1998,,2
-6.00,39.55,1998,3,2
-6.00,39.55,1998,5,2
-12.30,43.80,1998,,3
-12.10,43.80,1998,,2
-11.49,43.40,1998,5,3
-12.35,43.87,1998,,2
-12.70,45.20,1998,5,3
-12.83,45.22,1983,5,3
-12.83,45.22,1986,5,3
-12.83,45.22,1983,,2
-12.83,45.22,1998,4,3
-11.42,43.30,1998,,3
-12.28,43.75,1998,5,3
-11.58,43.33,2010,3,-1
-22.12,43.20,2008,8,1
-12.85,48.57,2002,1,1
-16.50,49.85,1998,2,2
-12.94,48.54,2002,1,1
-19.59,44.43,1998,2,2
-23.15,43.07,2009,10,0
-23.15,43.57,2009,4,-1
-23.15,43.57,2009,4,-1
-19.00,46.56,1998,3,2
-16.33,49.85,1998,,-1
-15.00,50.50,1998,2,2
-15.98,50.17,1998,,2
-16.07,50.18,1998,,1
-12.82,48.64,1998,2,2
-13.19,48.28,1998,2,2
-13.18,48.23,2002,1,1
-12.82,48.59,2002,1,1
